Tbps;her sanîyeyî terabayt
Gbps;her sanîyeyî cîgabayt
Mbps;her sanîyeyî megabayt
kbps;her sanîyeyî kîlobayt
bps;her sanîyeyî bayt
KBps;her sanîyeyî kîlobayt
MBps;her sanîyeyî megabayt
GBps;her sanîyeyî cîgabayt
Bps;her sanîyeyî bayt
KB;kîlobayt
MB;megabayt
GB;cîgabayt
km2;kîlometre kare
km²;kîlometre kare
cm2;santîmetre kare
mm2;mîlîmetre kare
dm2;desîmetre kare
m2;metrekare
km3;kilometre kûp
cm3;santîmetre kûp
mm3;mîlîmetre kûp
dm3;desîmetre kûp
m3;metrekûp
km;kîlometir
cm;santîmetir
mm;mîlîmetir
dm;desîmetir
mW;mîlîwat
MW;megawat
kW;kîlowat
w;wat
GHz;cîgahertz
MHz;megahertz
mHz;mîlîhertz
Hz;hertz
ml;mîlîlître
cl;santîlître
°C;selsius
° C;selsius
°K;kelvîn
° K;kelvîn
kJ;kîlocûl
KJ;kîlocûl
MJ;megacûl
m;mêtro
kg;kîlo
Kg;kîlo
mg;milîgram
gr;gram
g;gram
€;ewro
£;paund
\$;dolar
